id,event,time(ms),content,mode
2,keyPressed,0,16777220,0
2,keyPressed,615,16777248,0
2,keyPressed,81,84,0
2,keyPressed,34,72,0
2,keyPressed,97,69,0
2,keyPressed,103,32,0
2,wordTyped,989,The,0
2,keyPressed,155,70,0
2,keyPressed,162,73,0
2,keyPressed,138,88,0
2,keyPressed,475,16777219,0
2,keyPressed,67,86,0
2,keyPressed,49,69,0
2,keyPressed,148,32,0
2,wordTyped,1295,five,0
2,keyPressed,515,66,0
2,keyPressed,103,79,0
2,keyPressed,118,88,0
2,keyPressed,80,73,0
2,keyPressed,63,78,0
2,keyPressed,120,71,0
2,keyPressed,87,32,0
2,wordTyped,1128,boxing,0
2,keyPressed,167,81,0
2,keyPressed,16,87,0
2,keyPressed,51,73,0
2,keyPressed,431,16777219,0
2,keyPressed,115,16777219,0
2,keyPressed,106,16777219,0
2,keyPressed,423,87,0
2,keyPressed,83,73,0
2,keyPressed,605,90,0
2,keyPressed,57,65,0
2,keyPressed,59,82,0
2,keyPressed,116,68,0
2,keyPressed,133,83,0
2,keyPressed,25,32,0
2,wordTyped,2534,wizards,0
2,keyPressed,706,74,0
2,keyPressed,102,85,0
2,keyPressed,170,77,0
2,keyPressed,78,80,0
2,keyPressed,92,32,0
2,wordTyped,1198,jump,0
2,keyPressed,147,86,0
2,keyPressed,83,69,0
2,keyPressed,83,82,0
2,keyPressed,105,89,0
2,keyPressed,107,32,0
2,wordTyped,545,very,0
2,keyPressed,152,81,0
2,keyPressed,93,85,0
2,keyPressed,162,73,0
2,keyPressed,213,75,0
2,keyPressed,33,67,0
2,keyPressed,582,16777219,0
2,keyPressed,112,16777219,0
2,keyPressed,100,67,0
2,keyPressed,45,75,0
2,keyPressed,178,76,0
2,keyPressed,155,89,0
2,keyPressed,308,46,0
2,wordTyped,2271,quickly,0
2,sentenceTyped,10012,The five boxing wizards jump very quickly.,0
2,testFinished,10012,The five boxing wizards jump very quickly.,0
