id,event,time(ms),content,mode
3,keyPressed,0,16777220,1
3,keyPressed,316,16777248,1
3,keyPressed,463,84,1
3,keyPressed,90,72,1
3,keyPressed,103,69,1
3,keyPressed,122,32,1
3,wordTyped,1148,THe,1
3,keyPressed,613,16777219,1
3,keyPressed,74,16777219,1
3,keyPressed,97,16777219,1
3,keyPressed,362,72,1
3,keyPressed,113,69,1
3,keyPressed,196,32,1
3,wordTyped,1528,The,1
3,keyPressed,263,70,1
3,keyPressed,91,73,1
3,keyPressed,346,16777220,1
3,keyPressed,239,32,1
3,wordTyped,951,five,1
3,keyPressed,330,66,1
3,keyPressed,53,79,1
3,keyPressed,332,16777220,1
3,keyPressed,467,32,1
3,wordTyped,1253,boxing,1
3,keyPressed,93,73,1
3,keyPressed,71,87,1
3,keyPressed,357,16777219,1
3,keyPressed,69,16777219,1
3,keyPressed,78,87,1
3,keyPressed,88,73,1
3,keyPressed,196,90,1
3,keyPressed,229,16777220,1
3,keyPressed,640,32,1
3,wordTyped,1961,wizards,1
3,keyPressed,429,74,1
3,keyPressed,166,85,1
3,keyPressed,454,16777220,1
3,keyPressed,475,32,1
3,wordTyped,1547,jump,1
3,keyPressed,97,86,1
3,keyPressed,165,69,1
3,keyPressed,77,82,1
3,keyPressed,301,16777220,1
3,keyPressed,397,32,1
3,wordTyped,1058,very,1
3,keyPressed,101,81,1
3,keyPressed,99,85,1
3,keyPressed,421,16777220,1
3,keyPressed,322,46,1
3,wordTyped,975,quickly,1
3,sentenceTyped,10557,he five boxing wizards jump very quickly.,1
3,testFinished,10557,he five boxing wizards jump very quickly.,1
