id,event,time(ms),content,mode
2,keyPressed,0,16777220,1
2,keyPressed,827,16777248,1
2,keyPressed,113,84,1
2,keyPressed,99,72,1
2,keyPressed,191,69,1
2,keyPressed,313,32,1
2,wordTyped,1603,The,1
2,keyPressed,263,70,1
2,keyPressed,114,73,1
2,keyPressed,173,86,1
2,keyPressed,134,69,1
2,keyPressed,374,32,1
2,wordTyped,1127,five,1
2,keyPressed,331,66,1
2,keyPressed,100,79,1
2,keyPressed,363,16777220,1
2,keyPressed,672,32,1
2,wordTyped,1533,boxing,1
2,keyPressed,81,87,1
2,keyPressed,74,73,1
2,keyPressed,250,16777220,1
2,keyPressed,536,32,1
2,wordTyped,942,wizards,1
2,keyPressed,129,74,1
2,keyPressed,439,85,1
2,keyPressed,261,16777220,1
2,keyPressed,514,32,1
2,wordTyped,1384,jump,1
2,keyPressed,97,86,1
2,keyPressed,115,69,1
2,keyPressed,51,82,1
2,keyPressed,202,16777220,1
2,keyPressed,368,32,1
2,wordTyped,869,very,1
2,keyPressed,107,81,1
2,keyPressed,75,85,1
2,keyPressed,325,16777220,1
2,keyPressed,388,46,1
2,wordTyped,897,quickly,1
2,sentenceTyped,8549,he five boxing wizards jump very quickly.,1
2,testFinished,8549,he five boxing wizards jump very quickly.,1
