id,event,time(ms),content,mode
3,keyPressed,0,16777220,0
3,keyPressed,379,16777248,0
3,keyPressed,74,84,0
3,keyPressed,43,72,0
3,keyPressed,143,69,0
3,keyPressed,697,16777219,0
3,keyPressed,105,16777219,0
3,keyPressed,204,72,0
3,keyPressed,43,69,0
3,keyPressed,155,32,0
3,wordTyped,1974,The,0
3,keyPressed,284,70,0
3,keyPressed,294,73,0
3,keyPressed,382,86,0
3,keyPressed,39,69,0
3,keyPressed,101,32,0
3,wordTyped,1193,five,0
3,keyPressed,307,66,0
3,keyPressed,105,79,0
3,keyPressed,119,88,0
3,keyPressed,106,73,0
3,keyPressed,83,78,0
3,keyPressed,45,71,0
3,keyPressed,90,32,0
3,wordTyped,869,boxing,0
3,keyPressed,245,81,0
3,keyPressed,79,73,0
3,keyPressed,141,90,0
3,keyPressed,99,65,0
3,keyPressed,41,82,0
3,keyPressed,146,68,0
3,keyPressed,69,83,0
3,keyPressed,212,16777219,0
3,keyPressed,112,16777219,0
3,keyPressed,108,16777219,0
3,keyPressed,121,16777219,0
3,keyPressed,130,16777219,0
3,keyPressed,144,16777219,0
3,keyPressed,274,16777219,0
3,keyPressed,252,81,0
3,keyPressed,114,73,0
3,keyPressed,267,90,0
3,keyPressed,218,16777219,0
3,keyPressed,111,16777219,0
3,keyPressed,308,16777219,0
3,keyPressed,522,87,0
3,keyPressed,52,73,0
3,keyPressed,227,90,0
3,keyPressed,160,65,0
3,keyPressed,113,82,0
3,keyPressed,608,68,0
3,keyPressed,71,83,0
3,keyPressed,100,32,0
3,wordTyped,5445,wizards,0
3,keyPressed,213,74,0
3,keyPressed,151,85,0
3,keyPressed,194,77,0
3,keyPressed,37,80,0
3,keyPressed,152,32,0
3,wordTyped,822,jump,0
3,keyPressed,122,86,0
3,keyPressed,120,69,0
3,keyPressed,84,82,0
3,keyPressed,107,89,0
3,keyPressed,150,32,0
3,wordTyped,600,very,0
3,keyPressed,211,81,0
3,keyPressed,83,85,0
3,keyPressed,168,73,0
3,keyPressed,110,67,0
3,keyPressed,88,75,0
3,keyPressed,396,76,0
3,keyPressed,48,89,0
3,keyPressed,187,46,0
3,wordTyped,1369,quickly,0
3,sentenceTyped,12336,The five boxing wizards jump very quickly.,0
3,testFinished,12336,The five boxing wizards jump very quickly.,0
