id,event,time(ms),content,mode
4,keyPressed,0,16777220,0
4,keyPressed,171,16777248,0
4,keyPressed,172,84,0
4,keyPressed,60,72,0
4,keyPressed,190,69,0
4,keyPressed,90,32,0
4,wordTyped,761,The,0
4,keyPressed,416,70,0
4,keyPressed,80,73,0
4,keyPressed,130,86,0
4,keyPressed,57,69,0
4,keyPressed,103,32,0
4,wordTyped,852,five,0
4,keyPressed,267,66,0
4,keyPressed,49,79,0
4,keyPressed,120,88,0
4,keyPressed,94,73,0
4,keyPressed,67,78,0
4,keyPressed,45,71,0
4,keyPressed,73,32,0
4,wordTyped,791,boxing,0
4,keyPressed,196,87,0
4,keyPressed,49,73,0
4,keyPressed,228,90,0
4,keyPressed,83,65,0
4,keyPressed,22,82,0
4,keyPressed,99,68,0
4,keyPressed,75,83,0
4,keyPressed,112,32,0
4,wordTyped,956,wizards,0
4,keyPressed,288,74,0
4,keyPressed,105,85,0
4,keyPressed,176,77,0
4,keyPressed,31,80,0
4,keyPressed,110,32,0
4,wordTyped,733,jump,0
4,keyPressed,80,86,0
4,keyPressed,82,69,0
4,keyPressed,75,82,0
4,keyPressed,89,89,0
4,keyPressed,122,32,0
4,wordTyped,497,very,0
4,keyPressed,301,81,0
4,keyPressed,84,85,0
4,keyPressed,95,73,0
4,keyPressed,230,75,0
4,keyPressed,389,16777219,0
4,keyPressed,108,67,0
4,keyPressed,68,75,0
4,keyPressed,134,76,0
4,keyPressed,116,89,0
4,keyPressed,96,46,0
4,wordTyped,1698,quickly,0
4,sentenceTyped,6349,The five boxing wizards jump very quickly.,0
4,testFinished,6349,The five boxing wizards jump very quickly.,0
