id,event,time(ms),content,mode
1,keyPressed,0,16777220,0
1,keyPressed,618,16777248,0
1,keyPressed,594,84,0
1,keyPressed,324,72,0
1,keyPressed,170,69,0
1,keyPressed,53,32,0
1,wordTyped,1848,The,0
1,keyPressed,282,70,0
1,keyPressed,36,73,0
1,keyPressed,144,86,0
1,keyPressed,84,69,0
1,keyPressed,106,32,0
1,wordTyped,719,five,0
1,keyPressed,521,66,0
1,keyPressed,109,79,0
1,keyPressed,96,88,0
1,keyPressed,68,73,0
1,keyPressed,77,78,0
1,keyPressed,102,71,0
1,keyPressed,75,32,0
1,wordTyped,1104,boxing,0
1,keyPressed,238,73,0
1,keyPressed,356,16777219,0
1,keyPressed,63,87,0
1,keyPressed,68,73,0
1,keyPressed,150,90,0
1,keyPressed,94,65,0
1,keyPressed,50,82,0
1,keyPressed,133,68,0
1,keyPressed,86,83,0
1,keyPressed,213,32,0
1,wordTyped,1563,wizards,0
1,keyPressed,387,74,0
1,keyPressed,132,85,0
1,keyPressed,160,77,0
1,keyPressed,99,80,0
1,keyPressed,93,32,0
1,wordTyped,903,jump,0
1,keyPressed,136,86,0
1,keyPressed,162,69,0
1,keyPressed,119,82,0
1,keyPressed,154,89,0
1,keyPressed,143,32,0
1,wordTyped,768,very,0
1,keyPressed,181,81,0
1,keyPressed,82,85,0
1,keyPressed,416,73,0
1,keyPressed,99,67,0
1,keyPressed,98,75,0
1,keyPressed,86,76,0
1,keyPressed,72,89,0
1,keyPressed,432,46,0
1,wordTyped,1536,quickly,0
1,sentenceTyped,8511,The five boxing wizards jump very quickly.,0
1,testFinished,8511,The five boxing wizards jump very quickly.,0
